Available Forms:
0: FORM_UNSET
1: UNOWN_A
2: UNOWN_B
3: UNOWN_C
4: UNOWN_D
5: UNOWN_E
6: UNOWN_F
7: UNOWN_G
8: UNOWN_H
9: UNOWN_I
10: UNOWN_J
11: UNOWN_K
12: UNOWN_L
13: UNOWN_M
14: UNOWN_N
15: UNOWN_O
16: UNOWN_P
17: UNOWN_Q
18: UNOWN_R
19: UNOWN_S
20: UNOWN_T
21: UNOWN_U
22: UNOWN_V
23: UNOWN_W
24: UNOWN_X
25: UNOWN_Y
26: UNOWN_Z
27: UNOWN_EXCLAMATION_POINT
28: UNOWN_QUESTION_MARK
29: CASTFORM_NORMAL
30: CASTFORM_SUNNY
31: CASTFORM_RAINY
32: CASTFORM_SNOWY
33: DEOXYS_NORMAL
34: DEOXYS_ATTACK
35: DEOXYS_DEFENSE
36: DEOXYS_SPEED
37: SPINDA_00
38: SPINDA_01
39: SPINDA_02
40: SPINDA_03
41: SPINDA_04
42: SPINDA_05
43: SPINDA_06
44: SPINDA_07
45: RATTATA_NORMAL
46: RATTATA_ALOLA
47: RATICATE_NORMAL
48: RATICATE_ALOLA
49: RAICHU_NORMAL
50: RAICHU_ALOLA
51: SANDSHREW_NORMAL
52: SANDSHREW_ALOLA
53: SANDSLASH_NORMAL
54: SANDSLASH_ALOLA
55: VULPIX_NORMAL
56: VULPIX_ALOLA
57: NINETALES_NORMAL
58: NINETALES_ALOLA
59: DIGLETT_NORMAL
60: DIGLETT_ALOLA
61: DUGTRIO_NORMAL
62: DUGTRIO_ALOLA
63: MEOWTH_NORMAL
64: MEOWTH_ALOLA
65: PERSIAN_NORMAL
66: PERSIAN_ALOLA
67: GEODUDE_NORMAL
68: GEODUDE_ALOLA
69: GRAVELER_NORMAL
70: GRAVELER_ALOLA
71: GOLEM_NORMAL
72: GOLEM_ALOLA
73: GRIMER_NORMAL
74: GRIMER_ALOLA
75: MUK_NORMAL
76: MUK_ALOLA
77: EXEGGUTOR_NORMAL
78: EXEGGUTOR_ALOLA
79: MAROWAK_NORMAL
80: MAROWAK_ALOLA
81: ROTOM_NORMAL
82: ROTOM_FROST
83: ROTOM_FAN
84: ROTOM_MOW
85: ROTOM_WASH
86: ROTOM_HEAT
87: WORMADAM_PLANT
88: WORMADAM_SANDY
89: WORMADAM_TRASH
90: GIRATINA_ALTERED
91: GIRATINA_ORIGIN
92: SHAYMIN_SKY
93: SHAYMIN_LAND
94: CHERRIM_OVERCAST
95: CHERRIM_SUNNY
96: SHELLOS_WEST_SEA
97: SHELLOS_EAST_SEA
98: GASTRODON_WEST_SEA
99: GASTRODON_EAST_SEA
100: ARCEUS_NORMAL
101: ARCEUS_FIGHTING
102: ARCEUS_FLYING
103: ARCEUS_POISON
104: ARCEUS_GROUND
105: ARCEUS_ROCK
106: ARCEUS_BUG
107: ARCEUS_GHOST
108: ARCEUS_STEEL
109: ARCEUS_FIRE
110: ARCEUS_WATER
111: ARCEUS_GRASS
112: ARCEUS_ELECTRIC
113: ARCEUS_PSYCHIC
114: ARCEUS_ICE
115: ARCEUS_DRAGON
116: ARCEUS_DARK
117: ARCEUS_FAIRY
118: BURMY_PLANT
119: BURMY_SANDY
120: BURMY_TRASH
121: SPINDA_08
122: SPINDA_09
123: SPINDA_10
124: SPINDA_11
125: SPINDA_12
126: SPINDA_13
127: SPINDA_14
128: SPINDA_15
129: SPINDA_16
130: SPINDA_17
131: SPINDA_18
132: SPINDA_19
133: MEWTWO_A
135: MEWTWO_NORMAL
136: BASCULIN_RED_STRIPED
137: BASCULIN_BLUE_STRIPED
138: DARMANITAN_STANDARD
139: DARMANITAN_ZEN
140: TORNADUS_INCARNATE
141: TORNADUS_THERIAN
142: THUNDURUS_INCARNATE
143: THUNDURUS_THERIAN
144: LANDORUS_INCARNATE
145: LANDORUS_THERIAN
146: KYUREM_NORMAL
147: KYUREM_BLACK
148: KYUREM_WHITE
149: KELDEO_ORDINARY
150: KELDEO_RESOLUTE
151: MELOETTA_ARIA
152: MELOETTA_PIROUETTE
157: ZUBAT_NORMAL
160: GOLBAT_NORMAL
163: BULBASAUR_NORMAL
166: IVYSAUR_NORMAL
169: VENUSAUR_NORMAL
172: CHARMANDER_NORMAL
175: CHARMELEON_NORMAL
178: CHARIZARD_NORMAL
181: SQUIRTLE_NORMAL
184: WARTORTLE_NORMAL
187: BLASTOISE_NORMAL
190: DRATINI_NORMAL
193: DRAGONAIR_NORMAL
196: DRAGONITE_NORMAL
199: SNORLAX_NORMAL
202: CROBAT_NORMAL
205: MUDKIP_NORMAL
208: MARSHTOMP_NORMAL
211: SWAMPERT_NORMAL
214: DROWZEE_NORMAL
217: HYPNO_NORMAL
224: CUBONE_NORMAL
229: HOUNDOUR_NORMAL
232: HOUNDOOM_NORMAL
235: POLIWAG_NORMAL
238: POLIWHIRL_NORMAL
241: POLIWRATH_NORMAL
244: POLITOED_NORMAL
247: SCYTHER_NORMAL
250: SCIZOR_NORMAL
253: MAGIKARP_NORMAL
256: GYARADOS_NORMAL
259: VENONAT_NORMAL
262: VENOMOTH_NORMAL
265: ODDISH_NORMAL
268: GLOOM_NORMAL
271: VILEPLUME_NORMAL
274: BELLOSSOM_NORMAL
277: HITMONCHAN_NORMAL
280: GROWLITHE_NORMAL
283: ARCANINE_NORMAL
286: PSYDUCK_NORMAL
289: GOLDUCK_NORMAL
292: RALTS_NORMAL
295: KIRLIA_NORMAL
298: GARDEVOIR_NORMAL
301: GALLADE_NORMAL
304: ABRA_NORMAL
307: KADABRA_NORMAL
310: ALAKAZAM_NORMAL
313: LARVITAR_NORMAL
316: PUPITAR_NORMAL
319: TYRANITAR_NORMAL
322: LAPRAS_NORMAL
585: DEERLING_SPRING
586: DEERLING_SUMMER
587: DEERLING_AUTUMN
588: DEERLING_WINTER
589: SAWSBUCK_SPRING
590: SAWSBUCK_SUMMER
591: SAWSBUCK_AUTUMN
592: SAWSBUCK_WINTER
593: GENESECT_NORMAL
594: GENESECT_SHOCK
595: GENESECT_BURN
596: GENESECT_CHILL
597: GENESECT_DOUSE
598: PIKACHU_NORMAL
600: WURMPLE_NORMAL
602: WOBBUFFET_NORMAL
610: CACNEA_NORMAL
613: CACTURNE_NORMAL
616: WEEDLE_NORMAL
619: KAKUNA_NORMAL
622: BEEDRILL_NORMAL
625: SEEDOT_NORMAL
628: NUZLEAF_NORMAL
631: SHIFTRY_NORMAL
634: MAGMAR_NORMAL
